body_pre,body_post,weight
81967,10013,30
82118,10013,25
82132,10013,24
82161,10013,23
82188,10013,26
82284,10013,23
82386,10013,16
82440,10013,24
82582,10013,20
82895,10013,30
82939,10013,18
83162,10013,30
83341,10013,26
83360,10013,26
83494,10013,23
83576,10013,19
83608,10013,20
83820,10013,26
83833,10013,27
83921,10013,17
84007,10013,31
84664,10013,24
84972,10013,26
85137,10013,14
85141,10013,19
85516,10013,16
86137,10013,19
86553,10013,11
86751,10013,19
86814,10013,23
86876,10013,14
86985,10013,23
87155,10013,17
87382,10013,28
87437,10013,23
87642,10013,20
87660,10013,31
87759,10013,15
87844,10013,21
88290,10013,18
88584,10013,22
88655,10013,28
88703,10013,15
88884,10013,29
89471,10013,23
89761,10013,26
89839,10013,18
89841,10013,15
90367,10013,15
91041,10013,24
92278,10013,23
92784,10013,17
92924,10013,26
92927,10013,22
93462,10013,25
93485,10013,25
93772,10013,25
93859,10013,29
94001,10013,15
94674,10013,16
94974,10013,23
95158,10013,23
95167,10013,16
95213,10013,18
95368,10013,1
96324,10013,26
97305,10013,24
97772,10013,24
97999,10013,23
98017,10013,19
99139,10013,33
99608,10013,20
101010,10013,1
102887,10013,42
103144,10013,22
104166,10013,26
104526,10013,24
105128,10013,26
106115,10013,22
106691,10013,22
107197,10013,22
107452,10013,26
107852,10013,27
108002,10013,24
108833,10013,21
109268,10013,25
109583,10013,18
109697,10013,27
109873,10013,17
110375,10013,33
111165,10013,36
112040,10013,25
112593,10013,1
112749,10013,19
114235,10013,29
114594,10013,21
115240,10013,31
117952,10013,29
118629,10013,20
118769,10013,23
119101,10013,26
119278,10013,39
119280,10013,20
119591,10013,29
119632,10013,20
119936,10013,25
121103,10013,31
122293,10013,18
122354,10013,23
122892,10013,27
123280,10013,13
123421,10013,17
123585,10013,23
123894,10013,17
124055,10013,17
124242,10013,25
124632,10013,24
125860,10013,26
126002,10013,21
126602,10013,15
127397,10013,23
129189,10013,30
129287,10013,17
129321,10013,24
129903,10013,27
129965,10013,16
130317,10013,11
130403,10013,30
130603,10013,20
130806,10013,18
130907,10013,27
131100,10013,29
131293,10013,22
131946,10013,23
132230,10013,18
132312,10013,23
133053,10013,20
133214,10013,17
133642,10013,22
133671,10013,20
133806,10013,32
134216,10013,22
134359,10013,19
134660,10013,18
134883,10013,15
135238,10013,22
135362,10013,32
135739,10013,21
136208,10013,29
136240,10013,25
136310,10013,26
136459,10013,30
136531,10013,30
136570,10013,22
138335,10013,19
138352,10013,16
138353,10013,18
138408,10013,25
138573,10013,18
139008,10013,20
139053,10013,19
139093,10013,1
139182,10013,20
139510,10013,19
139642,10013,27
139742,10013,19
139952,10013,20
140182,10013,20
140589,10013,29
140636,10013,25
142083,10013,1
142189,10013,12
142769,10013,19
143569,10013,17
143735,10013,14
143875,10013,25
144012,10013,20
144118,10013,11
144291,10013,26
144464,10013,17
145157,10013,21
145352,10013,21
146122,10013,21
147885,10013,26
148419,10013,21
148493,10013,32
148548,10013,20
148680,10013,17
148860,10013,18
149792,10013,23
150913,10013,20
151134,10013,23
152391,10013,18
153391,10013,25
154433,10013,25
157864,10013,22
160878,10013,15
163516,10013,21
163735,10013,1
163971,10013,16
164103,10013,30
165036,10013,26
168306,10013,28
171163,10013,27
172084,10013,15
173322,10013,14
176770,10013,17
180588,10013,20
180812,10013,23
180905,10013,32
188198,10013,1
189047,10013,23
194483,10013,24
195279,10013,28
200482,10013,20
205908,10013,23
212154,10013,29
212767,10013,34
218942,10013,21
221876,10013,27
243735,10013,23
518555,10013,26
519854,10013,26
519857,10013,27
521384,10013,23
523057,10013,15
523358,10013,29
523630,10013,15
524809,10013,24
524851,10013,28
525305,10013,21
526670,10013,27
527209,10013,16
527211,10013,25
532544,10013,14
533201,10013,28
533346,10013,35
533371,10013,33
533585,10013,30
534428,10013,24
535357,10013,7
536292,10013,18
537082,10013,25
537652,10013,19
537759,10013,9
539249,10013,29
541683,10013,20
541716,10013,28
543605,10013,19
543682,10013,33
543948,10013,27
544736,10013,33
547275,10013,23
547276,10013,22
550868,10013,15
552693,10013,16
552867,10013,25
566092,10013,33
566095,10013,16
566096,10013,18
569213,10013,30
569775,10013,31
579717,10013,23
583848,10013,23
583883,10013,18
591438,10013,20
