seed,condition,training_blocks,p_choose_A,value_A,value_B
0,reward_A,0,0.5,0.0,0.0
0,reward_A,1,0.5932960867043017,0.07999999999999996,0.0044783715012722825
0,reward_A,2,0.6737087775121707,0.15359999999999985,0.008598473282442898
0,reward_A,3,0.7397395232381108,0.22131199999999984,0.012388966921119793
0,reward_A,4,0.7922685206671021,0.2836070399999999,0.015876221068702345
0,reward_A,5,0.8332961073890456,0.34091847679999976,0.019084494884478387
0,reward_A,6,0.8650688509932312,0.3936449986559998,0.02203610679499246
0,reward_A,7,0.8896340999781246,0.4421533987635199,0.024751589752665448
0,reward_A,8,0.908682762273181,0.48678112686243824,0.027249834073724277
0,reward_A,9,0.9235404028799119,0.5278386367134431,0.02954821884909875
0,reward_A,10,0.9352175270980877,0.5656115457763676,0.03166273284244292
0,reward_A,11,0.9444737851277341,0.6003626221142582,0.03360808571631979
0,reward_A,12,0.9518771565899217,0.6323336123451175,0.03539781036028655
0,reward_A,13,0.9578522740348491,0.6617469233575082,0.0370443570327359
0,reward_A,14,0.9627176428728642,0.6888071694889075,0.038559179971389246
0,reward_A,15,0.9667134558912,0.7137025959297949,0.039952817074950575
0,reward_A,16,0.9700220626042723,0.7366063882554112,0.04123496321022657
0,reward_A,17,0.9727829322218691,0.7576778771949784,0.04241453765468084
0,reward_A,18,0.9751035756583744,0.77706364701938,0.043499746143578544
0,reward_A,19,0.9770675328529749,0.7948985552578296,0.04449813795336466
0,reward_A,20,0.9787402373113563,0.8113066708372033,0.04541665841836784
0,reward_A,21,0.9801733451056229,0.826402137170227,0.046261697246170574
0,reward_A,22,0.9814079502160997,0.8402899661966089,0.0470391329677492
0,reward_A,23,0.9824769887282438,0.8530667689008802,0.047754373831601415
0,reward_A,24,0.9834070490570359,0.8648214273888097,0.04841239542634568
0,reward_A,25,0.9842197446007547,0.875635713197705,0.04901777529351037
0,reward_A,26,0.9849327619665327,0.8855848561418885,0.04957472477130165
0,reward_A,27,0.9855606670533368,0.8947380676505374,0.05008711829086987
0,reward_A,28,0.9861155291889925,0.9031590222384944,0.050558520328872425
0,reward_A,29,0.9866074076321028,0.9109063004594149,0.05099221020383504
0,reward_A,30,0.9870447332644343,0.9180337964226617,0.051391204888800446
0,reward_A,31,0.9874346099479044,0.9245910927088488,0.05175827999896854
0,reward_A,32,0.9877830539111345,0.9306238052921408,0.052095989100323425
0,reward_A,33,0.9880951850341646,0.9361739008687696,0.05240668147356986
0,reward_A,34,0.9883753805700876,0.941279988799268,0.05269251845695666
0,reward_A,35,0.9886273993611828,0.9459775896953265,0.05295548848167242
0,reward_A,36,0.9888544827470234,0.9502993825197005,0.05319742090441082
0,reward_A,37,0.9890594369591053,0.9542754319181244,0.053419998733330254
0,reward_A,38,0.9892447007322199,0.9579333973646744,0.053624770335936045
0,reward_A,39,0.9894124010506562,0.9612987255755004,0.053813160210333444
