bodyId,type,instance,class,somaSide
76973,KCg-m,KCg-m_R,Kenyon_Cell,R
76984,KCab-p,KCab-p_R,Kenyon_Cell,R
77022,KCab-c,KCab-c_R,Kenyon_Cell,R
77054,KCg-m,KCg-m_R,Kenyon_Cell,R
77060,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
77068,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
77076,KCab-s,KCab-s_L,Kenyon_Cell,L
77093,KCg-m,KCg-m_L,Kenyon_Cell,L
77108,KCg-m,KCg-m_L,Kenyon_Cell,L
77126,KCg-m,KCg-m_R,Kenyon_Cell,R
77131,KCab-c,KCab-c_R,Kenyon_Cell,R
77132,KCg-m,KCg-m_R,Kenyon_Cell,R
77158,KCg-m,KCg-m_R,Kenyon_Cell,R
77164,KCab-c,KCab-c_R,Kenyon_Cell,R
77199,KCa'b'-m,KCa'b'-m_R,Kenyon_Cell,R
77219,KCab-s,KCab-s_R,Kenyon_Cell,R
77281,KCg-m,KCg-m_R,Kenyon_Cell,R
77324,KCab-c,KCab-c_R,Kenyon_Cell,R
77367,KCg-m,KCg-m_L,Kenyon_Cell,L
77382,KCab-m,KCab-m_R,Kenyon_Cell,R
77390,KCab-s,KCab-s_R,Kenyon_Cell,R
77409,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
77433,KCab-s,KCab-s_R,Kenyon_Cell,R
77442,KCg-m,KCg-m_R,Kenyon_Cell,R
77449,KCg-m,KCg-m_R,Kenyon_Cell,R
77451,KCg-m,KCg-m_R,Kenyon_Cell,R
77454,KCg-m,KCg-m_L,Kenyon_Cell,L
77479,KCg-m,KCg-m_R,Kenyon_Cell,R
77505,KCab-m,KCab-m_L,Kenyon_Cell,L
77523,KCg-m,KCg-m_R,Kenyon_Cell,R
77539,KCa'b'-ap2,KCa'b'-ap2_L,Kenyon_Cell,L
77628,KCg-m,KCg-m_L,Kenyon_Cell,L
77631,KCg-m,KCg-m_L,Kenyon_Cell,L
77637,KCg-m,KCg-m_R,Kenyon_Cell,R
77679,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
77719,KCg-m,KCg-m_L,Kenyon_Cell,L
77729,KCab-s,KCab-s_R,Kenyon_Cell,R
77735,KCab-c,KCab-c_R,Kenyon_Cell,R
77755,KCa'b'-ap1,KCa'b'-ap1_R,Kenyon_Cell,R
77760,KCab-s,KCab-s_R,Kenyon_Cell,R
77790,KCab-c,KCab-c_R,Kenyon_Cell,R
77810,KCab-m,KCab-m_R,Kenyon_Cell,R
77858,KCa'b'-m,KCa'b'-m_L,Kenyon_Cell,L
77914,KCab-s,KCab-s_L,Kenyon_Cell,L
77975,KCg-m,KCg-m_R,Kenyon_Cell,R
78013,KCab-s,KCab-s_R,Kenyon_Cell,R
78060,KCab-s,KCab-s_R,Kenyon_Cell,R
78066,KCg-m,KCg-m_L,Kenyon_Cell,L
78073,KCa'b'-ap1,KCa'b'-ap1_L,Kenyon_Cell,L
78097,KCab-s,KCab-s_R,Kenyon_Cell,R
78118,KCab-c,KCab-c_L,Kenyon_Cell,L
78147,KCa'b'-ap2,KCa'b'-ap2_R,Kenyon_Cell,R
